,sample_id,analyte,concentration,sampling_date,units,is_detected,source_type,state,sampling_location,latitude,longitude,data_source
81,WW-3010,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
82,WW-3012,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
83,WW-3013,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
84,WW-3014,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
85,WW-3015,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
86,WW-3016,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
87,WW-3018,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
88,WW-3021,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
89,WW-3022,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
90,WW-3022,PFOA,4.2,2021-08-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
91,WW-3022,PFOA,0.53,2022-02-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
92,WW-3024,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
93,WW-3027,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
94,WW-3031,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
95,WW-3031,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
96,WW-3031,PFOA,0.0,2022-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
97,WW-3032,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
98,WW-3035,PFOA,0.0,2021-03-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
99,WW-3036,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
100,WW-3037,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
101,WW-3038,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
102,WW-3039,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
103,WW-3042,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
104,WW-3044,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
105,WW-3046,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
106,WW-3047,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
107,WW-3048,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
108,WW-3049,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
109,WW-3050,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
110,WW-3053,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
111,WW-3057,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
112,WW-3059,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
113,WW-3063,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
114,WW-3064,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
115,WW-3064,PFOA,0.0,2022-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
116,WW-3065,PFOA,0.0,2021-01-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
117,WW-3065,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
