,Water System Name / Well Name,USGS Site ID,County,Date,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFOSA,N-MeFOSAA,N-EtFOSAA,4:2 FTS,6:2 FTS,8:2 FTS,9Cl-PF3ONS,11Cl-PF3OUdS,ADONA,HFPO-DA,"PFOA+ PFOS
(ng/L)","ΣPFAS
(ng/L)",Total PFAS includes estimated values?
196,"San Juan River near Fruitland, NM",9367540.0,San Juan,2021-05-25 00:00:00,3.1,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,--,7.7,Yes
197,"Canadian River near Sanchez, NM",7221500.0,San Miguel,2020-09-02 00:00:00,2.6,,,,0.9,,,11.4,1.9,,,,,,,,,,,,,,,,,,,,--,16.8,Yes
198,"Canadian River near Sanchez, NM",7221500.0,San Miguel,2021-05-10 00:00:00,1.6,,,,,,,3,,,,,,,,,,,,,,,,,,,,,--,4.6,Yes
199,"Canadian River below Conchas Dam, NM",7224500.0,San Miguel,2020-09-29 00:00:00,1.4,,,,1.2,,,6.9,,,1.0,,,,,,,,,,,,,,,,,,--,10.5,Yes
200,"Rio Grande above Buckman Diversion, NM",8313150.0,Santa Fe,2020-08-28 00:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1,Yes
201,"Rio Grande above Buckman Diversion, NM",8313150.0,Santa Fe,2020-09-17 00:00:00,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,2.3,No
202,"Rio Grande above Buckman Diversion, NM",8313150.0,Santa Fe,2020-09-28 00:00:00,1.8,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,--,2.8,Yes
203,"Rio Grande above Buckman Diversion, NM",8313150.0,Santa Fe,2020-11-12 00:00:00,3.0,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,--,4.2,Yes
204,"Rio Grande above Buckman Diversion, NM",8313150.0,Santa Fe,2020-12-08 00:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1.7,No
205,"Rio Grande above Buckman Diversion, NM",8313150.0,Santa Fe,2021-01-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,--,4.7,Yes
206,"Rio Grande above Buckman Diversion, NM",8313150.0,Santa Fe,2021-02-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,--,2.1,Yes
207,"Rio Grande above Buckman Diversion, NM",8313150.0,Santa Fe,2021-03-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
208,"Rio Grande Floodway at San Marcial, NM",8358400.0,Socorro,2020-08-24 00:00:00,4.9,,1.5,,2.9,,,4.1,2.4,,,,,,,,,,,,,,,,,,,,2.9,15.8,Yes
209,"Rio Puerco near Bernardo, NM",8353000.0,Socorro,2020-09-13 00:00:00,2.3,,,,3.1,,,23.9,3.2,1.4,1.8,,,,,,,,,,,,,,,,,,3.1,35.7,Yes
210,"Rio Grande below Taos Junction Bridge, NM",8276500.0,Taos,2020-08-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
